Colorado August Palmer Modified Drought Index (PMDI)
Missing: -99
Date,Value
197408,-2.29
197508,0.37
197608,-1.22
197708,-3.88
197808,-2.48
197908,3.49
198008,0.13
198108,-3.10
198208,1.78
198308,4.50
198408,4.49
198508,1.78
198608,2.80
198708,3.49
198808,0.53
198908,-2.28
199008,-1.74
199108,1.03
199208,2.19
199308,2.70
199408,-1.56
199508,4.44
199608,-0.53
199708,3.82
199808,3.32
199908,4.29
200008,-3.22
200108,-2.38
200208,-9.09
200308,-4.88
200408,-2.68
200508,0.21
200608,-2.67
200708,0.10
200808,0.89
200908,0.50
201008,1.37
201108,0.38
201208,-6.75
201308,-5.90
201408,1.26
201508,2.70
201608,0.41
201708,0.67
201808,-6.27
201908,0.87
202008,-5.54
202108,-4.94
202208,-4.95
202308,2.47
