Colorado August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-2.29
197508,-0.33
197608,-1.22
197708,-3.96
197808,-2.48
197908,3.49
198008,-1.50
198108,-3.45
198208,1.78
198308,4.50
198408,4.49
198508,2.79
198608,2.80
198708,3.49
198808,-0.30
198908,-2.28
199008,-2.44
199108,1.03
199208,2.19
199308,2.70
199408,-1.56
199508,4.51
199608,0.74
199708,3.82
199808,3.32
199908,4.29
200008,-3.22
200108,-2.38
200208,-9.09
200308,-4.88
200408,0.16
200508,-0.40
200608,0.30
200708,0.19
200808,0.89
200908,1.11
201008,1.37
201108,-0.38
201208,-6.75
201308,-5.90
201408,1.26
201508,2.77
201608,-0.31
201708,0.67
201808,-6.27
201908,-0.42
202008,-5.54
202108,-4.94
202208,-4.95
202308,2.47
