Florida August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.42
197508,1.01
197608,-0.92
197708,-2.70
197808,-0.17
197908,0.61
198008,-1.52
198108,-3.23
198208,2.07
198308,1.57
198408,-0.57
198508,0.75
198608,-1.82
198708,-2.90
198808,-1.26
198908,-2.03
199008,-2.53
199108,-0.19
199208,0.78
199308,-3.08
199408,1.41
199508,2.39
199608,-0.85
199708,-0.27
199808,-4.17
199908,-2.73
200008,-5.18
200108,-2.71
200208,1.11
200308,3.07
200408,0.79
200508,-0.10
200608,-3.89
200708,-6.22
200808,-1.15
200908,-0.70
201008,-1.62
201108,-5.14
201208,2.12
201308,2.66
201408,-1.05
201508,-1.60
201608,-1.04
201708,1.87
201808,2.10
201908,-0.88
202008,0.50
202108,1.32
202208,-0.37
202308,-1.51
