Utah August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,-3.23
197508,-0.09
197608,-1.50
197708,-4.85
197808,1.12
197908,-0.33
198008,3.66
198108,-2.62
198208,2.66
198308,7.27
198408,6.70
198508,3.12
198608,3.02
198708,0.65
198808,-0.96
198908,-3.62
199008,-5.34
199108,-2.50
199208,-2.41
199308,3.08
199408,-3.07
199508,5.69
199608,-3.11
199708,3.60
199808,4.94
199908,3.63
200008,-3.79
200108,-2.15
200208,-6.60
200308,-4.93
200408,-3.11
200508,5.23
200608,-2.10
200708,-3.51
200808,-1.79
200908,-1.71
201008,0.82
201108,5.70
201208,-4.59
201308,-4.17
201408,-2.75
201508,-2.22
201608,-2.15
201708,-0.76
201808,-5.67
201908,-0.69
202008,-3.81
202108,-5.11
202208,-4.65
202308,2.81
