Pennsylvania August Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
197408,1.62
197508,2.40
197608,1.24
197708,0.84
197808,2.16
197908,1.63
198008,-0.22
198108,-0.60
198208,-0.71
198308,-1.50
198408,3.50
198508,0.43
198608,0.90
198708,0.39
198808,-2.00
198908,-0.65
199008,1.60
199108,-3.99
199208,1.56
199308,-2.17
199408,3.89
199508,-3.10
199608,2.80
199708,1.51
199808,-1.05
199908,-3.96
200008,0.62
200108,-2.21
200208,-2.85
200308,2.83
200408,4.80
200508,-1.95
200608,1.80
200708,-0.69
200808,-0.64
200908,1.86
201008,-1.69
201108,2.83
201208,-1.80
201308,1.24
201408,2.00
201508,-0.54
201608,-1.93
201708,2.10
201808,4.77
201908,5.57
202008,-1.15
202108,1.79
202208,-1.07
202308,1.69
